('St. Bernardus Abt 12', 'Belgian Quad', '11', '10.0', 'Belgium')
('St. Bernardus Pater 6', 'Belgian Dubbel', '11', '6.7', 'Belgium')
('St. Bernardus Prior 8', 'Belgian Dubbel', '11', '8.0', 'Belgium')
('St. Bernardus Tripel', 'Belgian Tripel', '11', '8.0', 'Belgium')
('St. Bernardus Watou Tripel', 'Belgian Tripel', '11', '7.0', 'Belgium')
('St. Bernardus Witbier', 'White Wheat', '11', '5.5', 'Belgium')
('St. Feuillien Brune', 'Belgian Brown', '25', '7.4', 'Belgium')
('St. Feuillien Grand Cru', 'Belgian Strong Pale Ale', '11', '9.5', 'Belgium')
('St. Feuillien Saison', 'Saison', '25', '6.5', 'Belgium')
('St. Feuillien Triple', 'Belgian Tripel', '11', '8.5', 'Belgium')
('St. Louis Gueuze Fond Tradition', 'Lambic', '12', '5.0', 'Belgium')
('St. Louis Premium Framboise', 'Lambic', '12', '4.5', 'Belgium')
('St. Louis Premium Kriek', 'Lambic', '12', '3.2', 'Belgium')
('St. Louis Premium Peche', 'Lambic', '12', '3.5', 'Belgium')
('St. Sebastiaan Dark', 'Belgian Dubbel', '16', '6.9', 'Belgium')
('St. Sebastiaan Golden', 'Belgian Golden', '16', '7.5', 'Belgium')
('St. Sebastiaan Grand Reserve', 'Belgian Strong Dark Ale', '16', '10.0', 'Belgium')
('St. Stefanus Blonde', 'Belgian Strong Pale Ale', '11', '7.0', 'Belgium')
('Steenbrugge Tripel', 'Belgian Tripel', '25', '8.7', 'Belgium')
('Steenbrugge Wit', 'White Wheat', '25', '5.0', 'Belgium')
('Stella Artois', 'Pale Lager', '12', '5.2', 'Belgium')
('Stella Artois Cidre', 'Cider', '12', '4.5', 'Belgium')
('Sterkens Dubbel', 'Belgian Dubbel', '11', '6.9', 'Belgium')
('Sterkens White Ale', 'White Wheat', '11', '4.7', 'Belgium')
('Timmermans Framboise', 'Lambic', '11', '4.5', 'Belgium')
('Timmermans Kriek', 'Lambic', '11', '5.0', 'Belgium')
('Timmermans Strawberry', 'Lambic', '11', '4.0', 'Belgium')
('Toria', 'Belgian Blonde', '11', '6.5', 'Belgium')
('Tripel Karmeliet', 'Belgian Tripel', '11', '8.4', 'Belgium')
('Triporteur From Heaven', 'Belgian Strong Pale Ale', '12', '6.2', 'Belgium')
('Troubadour Blond', 'Belgian Blonde', '11', '6.5', 'Belgium')
('Troubadour Imperial Stout', 'Imperial Stout', '25', '9.0', 'Belgium')
('Troubadour Magma', 'Imperial / Double IPA', '11', '9.0', 'Belgium')
('Troubadour Obscura', 'Stout', '12', '8.5', 'Belgium')
('Troubadour Westkust Dark India', 'Pale Ale', '11', '9.2', 'Belgium')
('Urthel Hop-It', 'Belgian Blonde', '11', '9.5', 'Belgium')
('Urthel Saisonnière', 'Saison', '11', '6.0', 'Belgium')
('Urthel Vlaemse Bock', 'Bock', '11', '7.4', 'Belgium')
('Val-Dieu Blonde', 'Belgian Blonde', '11', '6.0', 'Belgium')
('Val-Dieu Brown', 'Belgian Brown', '11', '8.0', 'Belgium')
('Val-Dieu Grand Cru', 'Belgian Strong Dark Ale', '25', '11.0', 'Belgium')
('Val-Dieu Triple', 'Belgian Tripel', '11', '9.0', 'Belgium')
('Vanderghinste Oud Bruin', 'Flemish Brown', '11', '5.5', 'Belgium')
('Verhaeghe Duchesse De Bourgogne', 'Flemish Red', '11', '6.2', 'Belgium')
('Verhaeghe Echt Kriekenbier', 'Flemish Red', '11', '6.8', 'Belgium')
('Verhaeghe Vichtenaar', 'Flemish Red', '11', '5.0', 'Belgium')
('Vicaris Tripel', 'Belgian Tripel', '25', '8.5', 'Belgium')
('Westmalle Dubbel', 'Belgian Dubbel', '11', '7.0', 'Belgium')
('Westmalle Tripel', 'Belgian Tripel', '11', '9.5', 'Belgium')
('Witches'' Brew', 'Belgian Golden', '25', '9.3', 'Belgium')
('Wittekerke', 'White Wheat', '12', '5.0', 'Belgium')
('Wittekerke Framboise', 'Specialty Beer', '12', '4.5', 'Belgium')
('Wolf 7', 'Belgian Blonde', '12', '7.4', 'Belgium')
('Wolf 9', 'Belgian Strong Dark Ale', '25', '9.0', 'Belgium')
('Palma Louca', 'Pilsner', '12', '5.2', 'Brazil')
('Xingu Black Beer', 'Schwarzbier', '12', '4.3', 'Brazil')
('21st Amendment Back in Black Dark India', 'Pale Ale', '12', '6.8', 'California')
('21st Amendment Bitter American', 'Pale Ale', '12', '4.4', 'California')
('21st Amendment Brew Free or Die', 'IPA', '12', '7.0', 'California')
('21st Amendment Fireside Chat', 'Winter Warmer', '12', '7.9', 'California')
('Ace Apple Cider', 'Cider', '12', '5.0', 'California')
('Ace Berry Cider', 'Cider', '12', '5.0', 'California')
('Ace Joker Cider', 'Cider', '12', '6.9', 'California')
('Ace Pear Cider', 'Cider', '12', '5.0', 'California')
('Ace Pumpkin Cider', 'Cider', '12', '5.0', 'California')
('AleSmith Speedway Stout', 'Imperial Stout', '25', '12.0', 'California')
('Alesmith Horny Devil', 'Belgian Strong Pale Ale', '25', '11.0', 'California')
('Anchor Breckles Brown Ale', 'Brown Ale', '12', '6.0', 'California')
('Anchor California Lager', 'Pale Lager', '12', '4.9', 'California')
('Anchor Humming Ale', 'Pale Ale', '12', '5.5', 'California')
('Anchor Liberty Ale', 'Pale Ale', '12', '5.9', 'California')
('Anchor Old Foghorn', 'Barleywine', '12', '8.7', 'California')
('Anchor Porter', 'Porter', '12', '5.6', 'California')
('Anchor Steam California Common', 'California Common', '12', '4.9', 'California')
('Anderson Valley Barney Flats', 'Stout', '12', '5.7', 'California')
('Anderson Valley Boont Amber', 'Amber / Red Ale', '12', '5.8', 'California')
('Anderson Valley ESB', 'ESB', '12', '6.8', 'California')
('Anderson Valley El Steinber', 'Dark Lager', '16', '5.0', 'California')
('Anderson Valley Heelch O'' Hops', 'Imperial / Double IPA', '12', '8.7', 'California')
('Anderson Valley Hop Ottin IPA', 'IPA', '12', '7.0', 'California')
('Anderson Valley Winter Solstice', 'Winter Warmer', '12', '6.9', 'California')
('Ballast Point Big Eye IPA', 'IPA', '12', '7.0', 'California')
('Ballast Point Calico Amber Ale', 'Amber / Red Ale', '12', '5.0', 'California')
('Ballast Point Dorado', 'Imperial / Double IPA', '22', '9.6', 'California')
('Ballast Point Fathom India Pale Lager', 'Specialty Beer', '22', '6.8', 'California')
('Ballast Point Sculpin IPA', 'IPA', '22', '7.0', 'California')
('Bear Republic Hop Rod Rye', 'IPA', '12', '8.0', 'California')
('Bear Republic Peter Brown Ale', 'Brown Ale', '22', '6.5', 'California')
('Bear Republic Racer 5 IPA', 'IPA', '12', '7.0', 'California')
('Bear Republic Red Rocket Ale', 'Amber / Red Ale', '12', '6.8', 'California')
('Bison Organic Chocolate Stout', 'Stout', '12', '6.0', 'California')
('Bison Organic Honey Basil', 'Specialty Beer', '12', '6.0', 'California')
('Bison Organic Hop Cuvee', 'IPA', '12', '5.5', 'California')
('Black Diamond Fracas Red', 'Imperial / Double IPA', '16', '8.0', 'California')
('Black Diamond Wheat Wacker', 'Wheat', '22', '7.0', 'California')
('Buffalo Bill''s Alimony Ale', 'IPA', '12', '6.8', 'California')
('Buffalo Bill''s Orange Blossom Cream Ale', 'Cream Ale', '12', '5.2', 'California')
('Buffalo Bill''s Pumpkin Ale', 'Pumpkin Ale', '12', '5.2', 'California')
('Buffalo Bill''s Tasmanian Devil', 'Strong Ale', '12', '8.0', 'California')
